kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.04.001.00017,Solar non subsidi,16/07/2024,LITER,,  - 
1.1.7.01.01.04.002.00086,Gemuk (Grease),17/07/2024,PEIL,Nlgi Grade : 2 ; Soap Lithium 12-Hydroxystearate,  - 
1.1.7.01.01.04.002.00086,Gemuk (Grease),19/05/2025,PEIL,Nlgi Grade : 2 ; Soap Lithium 12-Hydroxystearate,"  42,00 "
1.1.7.01.01.04.002.00112,Oli Mesin,17/07/2024,LITER,Uk : 20 W 50,"  13,00 "
1.1.7.01.01.04.002.00117,Oli Mesin,02/01/2020,LITER,20W50/ Mesran,  - 
1.1.7.01.01.04.002.00117,Oli Mesin,07/10/2022,LITER,20W50/ Mesran,  - 
1.1.7.01.01.04.002.00117,Oli Mesin,19/05/2025,LITER,20W50/ Mesran,"  40,00 "
1.1.7.01.01.04.002.00192,Oli,13/11/2023,LITER,Oli 10W-40,"  24,00 "
1.1.7.01.01.04.002.05001,Oli Rored,17/07/2024,GALON,EPA SAE 140 (4 liter/galon),"  28,00 "
1.1.7.01.01.04.002.05001,Oli Rored,19/05/2025,GALON,EPA SAE 140 (4 liter/galon),"  292,00 "
1.1.7.01.01.04.002.05002,Oli Meditran,17/07/2024,DRUM,Oli SAE 40 Meditran (209 liter/drum),  - 
1.1.7.01.01.04.002.05002,Oli Meditran,19/05/2025,DRUM,Oli SAE 40 Meditran (209 liter/drum),  - 
1.1.7.01.01.04.002.05003,Oli,17/07/2024,JERIGEN,Oli 10W-40 (1 liter/Jerigen),"  102,00 "
1.1.7.01.01.04.002.05003,Oli,19/05/2025,JERIGEN,Oli 10W-40 (1 liter/Jerigen),"  176,00 "
1.1.7.01.01.04.002.05004,Oli Gearbox,17/07/2024,DRUM,ISO VG 220 (200 liter/drum),  - 
1.1.7.01.01.04.002.05004,Oli Gearbox,19/05/2025,DRUM,ISO VG 220 (200 liter/drum),"  1,00 "
1.1.7.01.01.04.002.05005,Oli Rored,17/07/2024,GALON,EPA SAE 90 (5 liter/galon),  - 
1.1.7.01.01.04.002.05005,Oli Rored,19/05/2025,GALON,EPA SAE 90 (5 liter/galon),"  22,00 "
1.1.7.01.01.04.002.05006,Oli Diesel,19/05/2025,GALON,Oli Synthetic Diesel SAE 40 (5 liter/galon),"  38,00 "
1.1.7.01.01.04.002.05007,Oli Mesin,17/07/2024,JERIGEN,SAE 10W-40 (4 liter/Jerigen),  - 
1.1.7.01.01.04.002.05008,Oli Mesin,17/07/2024,GALON,SAE 40 (5 liter/galon),"  15,00 "
1.1.7.01.01.04.002.05022,Oli Mesin,19/05/2025,JERIGEN,Meditran SAE 40 (5 liter/Jerigen),"  45,00 "
1.1.7.01.01.04.002.05023,Oli Mesin,19/05/2025,JERIGEN,Mesran SAE 40 (5 Liter / Jerigen),"  148,00 "
1.1.7.01.01.04.002.05024,Oli Mesin,19/05/2025,BOTOL,Mesran SAE40 (1 Liter/Botol),"  270,00 "
1.1.7.01.01.04.002.05025,Oli Mesin,19/05/2025,DRUM,Rored SAE 140 (200 liter/Drum),"  7,00 "
1.1.7.01.01.04.003.00054,Oli Hidrolik,13/11/2023,LITER,"Oli Turalik 52 SAE 10/ Oli 10 Hidrolik/ Oli Drum SJP VG-68, 1 Drum isi 200 liter",  - 
1.1.7.01.01.04.003.00096,Oli Turalik,17/07/2024,DRUM,,  - 
