kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.003.00002,Kaca Bening,2025-10-10,M2, 3 Mm,"118,84"
1.1.7.01.01.01.005.00001,Batu Belah,2025-10-10,M3, -,"0,20"
1.1.7.01.01.01.005.00012,Batu Kali,2025-10-10,M3, Ukuran 15/20,"497,00"
1.1.7.01.01.01.005.00017,Batu Kerikil,2025-10-10,M3, Beton,"0,30"
1.1.7.01.01.01.005.00028,Roster,2025-10-10,BUAH, Merah,"626,00"
1.1.7.01.01.01.005.00047,Nok Asbes gelombang,2025-10-10,LEMBAR, -,"94,00"
1.1.7.01.01.01.005.00047,Nok Asbes gelombang,2025-10-10,LEMBAR,-,"565,00"
1.1.7.01.01.01.006.00111,Cat Meni Besi,2025-10-10,KG," Ukuran 1 kg","10,00"
1.1.7.01.01.01.008.00009,Baja Wf,2025-10-10,KG, Lebih kecil sama dengan 250Mm,"355,20"
1.1.7.01.01.01.013.00001,Keramik Dinding Polos,2025-10-10,M2," Ukuran 20x10 Cm","391,00"
1.1.7.01.01.01.013.00057,LIST KERAMIK DINDING,2025-10-10,BUAH,UK. 80 CM X 25 CM,"1211,00"
1.1.7.01.01.01.014.00004,Genteng Plentong,2025-10-10,BUAH,Glazzur,31595
1.1.7.01.01.01.014.00010,Metal Roof,2025-10-10,LEMBAR," Imw Nok Kotak Panjang 914 Mm Tebal 0,25 Colour","567,00"
1.1.7.01.01.01.014.00011,Metal Roof,2025-10-10,M2," Spandek Hi Ten Colorbond Tebal 0,45 Mm","80,00"
1.1.7.01.01.01.014.00014,Nok Genteng Plentong,2025-10-10,BUAH, Glazzur,"14752,00"
1.1.7.01.01.01.015.00085,U-Ditch,2025-10-10,UNIT,"Ukuran 1000x1000x80/100-1,2 M","266,00"
1.1.7.01.01.01.021.00030,Thinner,2025-10-10,LITER, Cat,"58,00"
1.1.7.01.01.01.023.00007,AMPLAS,2025-10-10,LEMBAR,-,"3467,00"
1.1.7.01.01.01.027.00009,Paku Asbes,2025-10-10,KG, -,"452,10"
1.1.7.01.01.01.027.00011,Paku,2025-10-10,KG, Beton Hitam,"1,00"
1.1.7.01.01.01.027.00020,Paku,2025-10-10,KG," Biasa 2"" - 5""","0,55"
1.1.7.01.01.02.002.00787,Soda Api,2025-10-10,KG, -,"142,00"
1.1.7.01.02.01.001.00927,Sekrup,2025-10-10,KOTAK, -,"0,50"
1.1.7.01.03.01.010.00079,Seal Tape,2025-10-10,BUAH," P.T.F.E Thread SealTape ISO 9002 Certified 10 Meters Size: 12mm x 0,075mm x 10m , merk onda","306,00"
1.1.7.01.03.01.010.00079,Seal Tape,2025-10-10,BUAH," P.T.F.E Thread SealTape ISO 9002 Certified 10 Meters Size: 12mm x 0,075mm x 10m , merk onda","500,00"
1.1.7.01.03.01.010.00127,Lem Kayu,2025-10-10,KG, -,79
1.1.7.01.03.07.001.00087,Ijuk,2025-10-10,BUAH," Subtrat Ijuk","17,00"
1.1.7.01.03.07.003.00025,Bak Plastik,2025-10-10,BUAH,Cat,"578,00"
1.1.7.01.03.07.003.00038,EMBER PLASTIK,2025-10-10,BUAH,SEMEN,"270,00"
1.1.7.01.03.07.006.00014,Tali Rafia,2025-10-10,GULUNG,-,"240,00"
1.1.7.01.03.07.006.00014,Tali Rafia,2025-10-10,GULUNG,-,"1000,00"
1.1.7.01.03.07.013.00004,KUAS ROLL,2025-10-10,BUAH,"IMUNNDEX, BESAR","171,00"
1.1.7.01.03.07.014.00012,Grendel,2025-10-10,SET,-,"4,00"
1.1.7.01.03.09.007.00068,KAPE,2025-10-10,BUAH,BERBAHAN KAYU DAN PLAT,"30,00"
1.1.7.02.02.06.001.00063,"Faucet Socket Pipa PVC Aw 1""",2025-10-10,SET,-,"73,00"
1.1.7.02.02.06.001.00064,"Faucet Soket Piqa PVC 1 1/2 AW""",2025-10-10,SET,-,"57,00"
1.1.7.02.02.06.001.00065,"Klem Pipa PVC AW 1 1/2""",2025-10-10,SET,-,"1,00"
1.1.7.02.02.06.001.00065,"Klem Pipa PVC AW 1 1/2""",2025-10-10,SET,-,"59,00"
1.1.7.02.02.06.001.00067,"Faucet Socket Pipa PVC Aw 1/2""",2025-10-10,SET,-,"54,00"
1.1.7.02.02.06.001.00070,"Faucet Socket Pipa PVC Aw 3/4""",2025-10-10,SET,-,"30,00"
1.1.7.02.02.06.001.00071,"Klem Pipa PVC AW 2""",2025-10-10,BUAH,-,"1231,00"
1.1.7.02.02.06.001.00072,"Klem Pipa PVC AW 4""",2025-10-10,BUAH,-,"1,00"
1.1.7.02.02.06.001.00072,"Klem Pipa PVC AW 4""",2025-10-10,BUAH,-,"44,00"
1.1.7.02.02.06.001.00073,"Faucet Elbow Pipa PVC Aw 1""",2025-10-10,SET,-,"98,00"
1.1.7.02.02.06.001.00103,Knee 90 Ukuran 3/ 4,2025-10-10,BUAH,Type Aw,"10,00"
1.1.7.02.02.06.001.00104,Knee 90 Ukuran 1,2025-10-10,BUAH,Type Aw,"164,00"
1.1.7.02.02.06.001.00104,Knee 90 Ukuran 1,2025-10-10,BUAH,Type Aw,"25,00"
1.1.7.02.02.06.001.00105,Knee 90 Ukuran 1 1/ 4,2025-10-10,BUAH,Type Aw,"193,00"
1.1.7.02.02.06.001.00107,Knee 90 Ukuran 2,2025-10-10,BUAH,Type Aw,"248,00"
1.1.7.02.02.06.001.00143,"Reducing Socket 1"" x 1-1/2""",2025-10-10,BUAH,Type AW,"96,00"
1.1.7.02.02.06.001.00143,"Reducing Socket 1"" x 1-1/2""",2025-10-10,BUAH,Type AW,"1,00"
1.1.7.02.02.06.001.00152,"Reducing Socket 3/4"" x 1/2""",2025-10-10,BUAH,Type AW,"1,00"
1.1.7.02.02.06.001.00152,"Reducing Socket 3/4"" x 1/2""",2025-10-10,BUAH,Type AW,"29,00"
1.1.7.02.02.06.001.00158,"Socket 2""",2025-10-10,BUAH,Type AW,"1221,00"
1.1.7.02.02.06.001.00163,"Socket 1""",2025-10-10,BUAH,Type AW,"74,00"
1.1.7.02.02.06.001.00163,"Socket 1""",2025-10-10,BUAH,Type AW,"8,00"
1.1.7.02.02.06.001.00166,"Reducing Socket 1"" x 3/4""",2025-10-10,BUAH,Type AW,"76,00"
1.1.7.02.02.06.001.00167,"Socket 1-1/2""",2025-10-10,BUAH,Type AW,"1,00"
1.1.7.02.02.06.001.00167,"Socket 1-1/2""",2025-10-10,BUAH,Type AW,"56,00"
1.1.7.02.02.06.001.00172,"Socket 1/2""",2025-10-10,BUAH,Type AW,"39,00"
1.1.7.02.02.06.001.00180,"Socket 3/4""",2025-10-10,BUAH,Type AW,"5,00"
1.1.7.02.02.06.001.00186,"Socket 4""",2025-10-10,BUAH,Type AW,"71,00"
1.1.7.02.02.06.001.00186,"Socket 4""",2025-10-10,BUAH,Type AW,"1,00"
1.1.7.02.02.06.001.00186,"Socket 4""",2025-10-10,BUAH,Type AW,"7,00"
1.1.7.02.02.06.001.00186,"Socket 4""",2025-10-10,BUAH,Type AW,"2,00"
1.1.7.02.02.06.001.00186,"Socket 4""",2025-10-10,BUAH,Type AW,"16,00"
1.1.7.01.01.01.005.00049,Paving Stone,2025-10-10,BUAH,-,"4500,00"
