;;;;;;;
STOCK OPNAME 31 AGUSTUS 2025;;;;;;;
SUDIN SDA (Jakarta Barat);;;;;;;
;;;;;;;
NO;GUDANG;KODE;NAMA ITEM/OBAT;TANGGAL OLEH;SATUAN;MERK/KEMASAN;STOCK;;;JUMLAH;;;;;;;;;;;;;;;
1;Gudang Mercu;1.1.7.01.01.01.005.00009;Batu Pecah;2025-05-15;M3;Ukuran 2/3;665,00;;;#REF!;;;;;;;;;;;;;;;
2;Gudang Mercu;1.1.7.01.01.01.005.00040;Batu Kali;2025-04-11;M3;Batu Belah;-;;;#REF!;;;;;;;;;;;;;;;
3;Gudang Mercu;1.1.7.01.01.01.004.00004;Pasir;2025-05-15;M3;Beton;605,80;;;#REF!;;;;;;;;;;;;;;;
4;Gudang Mercu;1.1.7.01.01.01.004.00005;PASIR;2025-07-25;M3;PASANG;825,50;;;#REF!;;;;;;;;;;;;;;;
5;Gudang Mercu;1.1.7.01.01.05.002.00005;Kayu;2024-11-21;BATANG;Dolken Gelam;2087,00;;;#REF!;;;;;;;;;;;;;;;
6;Gudang Mercu;1.1.7.01.01.01.015.00008;U-Ditch;2025-07-03;UNIT;Panjang Efektif 1.20 M U 400/ 400;4,00;;;#REF!;;;;;;;;;;;;;;;
7;Gudang Mercu;1.1.7.01.01.01.015.00036;Tutup U-Ditch;2025-07-03;UNIT;Tutup U-Ditch 400-100/ 600 Mm, Heavy Duty (Hd);17,00;;;#REF!;;;;;;;;;;;;;;;
8;Gudang Mercu;1.1.7.01.01.01.011.50002;Tiang Kolom Panel Beton Precast;2024-07-03;PCS;Uk. 160 mm x 180 mm x 300 cm min. K 225;57,00;;;#REF!;;;;;;;;;;;;;;;
9;Gudang Mercu;1.1.7.01.01.01.011.00023;Pagar Panel;2024-07-03;BATANG;Panel 50X400X2400 Mm;73,00;;;-;;;;;;;;;;;;;;;
1;Gudang Posko Kembangan;1.1.7.01.01.01.002.00007;SEMEN;2025-05-19;ZAK;50 KG; 1.330,00 ;;;#REF!;;;;;;;;;;;;;;;
2;Gudang Posko Kembangan;1.1.7.01.01.01.002.00007;SEMEN;2025-08-07;ZAK;50 KG; 4.000,00 ;;;#REF!;;;;;;;;;;;;;;;
3;Gudang Posko Kembangan;1.1.7.01.01.01.002.50007;Gypsum;2024-11-25;LEMBAR;120X240 T 9 Mm; 25,00 ;;;#REF!;;;;;;;;;;;;;;;
4;Gudang Posko Kembangan;1.1.7.01.01.01.005.00070;Paving Block;2024-08-09;BUAH;Warna Natural Truepave Tebal 8Cm 10X20; 8.835,00 ;;;#REF!;;;;;;;;;;;;;;;
5;Gudang Posko Kembangan;1.1.7.01.01.01.006.00009;Cat Tembok;2022-12-31;KALENG;(Luar) Warna Isi 20 Liter; 7,00 ;;;#REF!;;;;;;;;;;;;;;;
6;Gudang Posko Kembangan;1.1.7.01.01.01.006.00020;Cat Tembok;2023-12-14;KALENG;"Luar/ Dalam; Putih Dan Warna Isi 25 Kg 1 Kaleng"; 1,00 ;;;#REF!;;;;;;;;;;;;;;;
7;Gudang Posko Kembangan;1.1.7.01.01.01.006.00021;CAT TEMBOK;2024-11-25;KALENG;ISI 25 KG 1 GALON; 66,00 ;;;#REF!;;;;;;;;;;;;;;;
8;Gudang Posko Kembangan;1.1.7.01.01.01.006.00054;Dempul;2022-10-24;KALENG;1 Kg; 11,00 ;;;#REF!;;;;;;;;;;;;;;;
9;Gudang Posko Kembangan;1.1.7.01.01.01.006.00070;Cat Pylox Merah;2023-05-17;BUAH;; 1.585,00 ;;;#REF!;;;;;;;;;;;;;;;
10;Gudang Posko Kembangan;1.1.7.01.01.01.006.00072;Epoxy;2022-12-31;LITER;Bahan / material untuk pengecatan dasar / awal bodi kendaraan, Cepat kering, Menutup rata pori-pori bodi kendaraan, Ukuran 1 kg; 4,00 ;;;#REF!;;;;;;;;;;;;;;;
11;Gudang Posko Kembangan;1.1.7.01.01.01.006.00175;CAT MINYAK;2022-10-24;KALENG;ISI 5 LITER; 58,00 ;;;#REF!;;;;;;;;;;;;;;;
12;Gudang Posko Kembangan;1.1.7.01.01.01.006.00176;Cat Minyak Berwarna;2022-10-24;KALENG;5 Kg; 12,00 
13;Gudang Posko Kembangan;1.1.7.01.01.01.007.00001;Seng Gelombang;2023-09-25;LEMBAR;Bjls 30 (80 X 240) Cm; 221,00 
14;Gudang Posko Kembangan;1.1.7.01.01.01.008.05002;Baja Ringan;2024-11-25;BATANG;Tebal 1 mm panjang 6 meter; 85,00 
15;Gudang Posko Kembangan;1.1.7.01.01.01.012.00007;Besi Siku;2023-09-25;BATANG;Uk. 60.60.6 Panjang 6 M; 12,00 
16;Gudang Posko Kembangan;1.1.7.01.01.01.012.00017;Besi Wf;2020-01-02;BATANG;Uk. 200X100X5,5X8 Mm - 12 M; 7,00 
17;Gudang Posko Kembangan;1.1.7.01.01.01.012.00017;Besi Wf;2023-11-30;BATANG;Uk. 200X100X5,5X8 Mm - 12 M; 10,00 
