kode,nama_barang,tanggal,satuan,merk,stok,lokasi
1.1.7.01.01.01.002.00007,SEMEN,2025-08-28,ZAK,50 KG,5442.0,Gudang Ketel Uap
1.1.7.01.01.01.002.00026,Semen Grouting,2020-01-02,KG,,872.0,Gudang Ketel Uap
1.1.7.01.01.01.004.00004,Pasir,2025-03-05,M3,Beton,1012.0,Gudang Ketel Uap
1.1.7.01.01.01.004.00005,PASIR,2025-07-01,M3,PASANG,252.0,Gudang Ketel Uap
1.1.7.01.01.01.005.00001,Batu Belah,2025-03-24,M3,,1035.0,Gudang Ketel Uap
1.1.7.01.01.01.005.00009,Batu Pecah,2024-05-02,M3,Ukuran 2/3,273.0,Gudang Ketel Uap
1.1.7.01.01.01.005.00020,BATU BATA,2025-08-15,BUAH,MERAH KELAS 2,11000.0,Gudang Ketel Uap
1.1.7.01.01.01.006.00008,CAT TEMBOK,2024-05-16,KALENG,(LUAR) PUTIH ISI 20 LITER,9.0,Gudang Ketel Uap
1.1.7.01.01.01.006.00009,Cat Tembok,2024-05-16,KALENG,(Luar) Warna Isi 20 Liter,61.0,Gudang Ketel Uap
1.1.7.01.01.01.006.00015,Cat Tembok,2024-05-16,KALENG,(Dalam) Putih Isi 20 Liter,15.0,Gudang Ketel Uap
1.1.7.01.01.01.006.00016,Cat Tembok,2024-05-16,KALENG,(Dalam) Warna Isi 20 Liter,15.0,Gudang Ketel Uap
1.1.7.01.01.01.006.00076,CAT TEMBOK,2023-03-15,KALENG,1 PEL (25 KG),50.0,Gudang Ketel Uap
1.1.7.01.01.01.006.00175,CAT MINYAK,2024-10-28,KALENG,ISI 5 LITER,150.0,Gudang Ketel Uap
1.1.7.01.01.01.007.00031,Asbes Gelombang Besar,2023-11-01,LEMBAR,"Uk. 250x102x0,5 cm",21.0,Gudang Ketel Uap
1.1.7.01.01.01.008.00011,KANAL GALVALUM,2023-04-11,BATANG,C75X60 MM- 6M,6.0,Gudang Ketel Uap
