kode,nama_barang,tanggal,satuan,merk,stok,lokasi
1.1.7.01.01.01.005.00009,Batu Pecah,2025-10-10,M3,Ukuran 2/3,8.222222222,Gudang Pantai
1.1.7.01.01.01.005.00040,Batu Kali,2025-10-10,M3,Batu Belah,20.3,Gudang Pantai
1.1.7.01.01.04.001.00002,BBM Pertamax,2025-10-10,Liter,Pertamax,65.0,Gudang Pantai
1.1.7.01.01.04.001.00013,BBM Solar,2025-10-10,Liter,Solar,75.0,Gudang Pantai
1.1.7.02.02.06.001.00086,Belokan Talang,2025-10-10,Buah,Belokan Talang Kotak PVC uk. 4 inch,14.0,Gudang Pantai
1.1.7.01.03.07.006.50027,Benang Proyek/Bangunan,2025-10-10,Roll,,8.0,Gudang Pantai
1.1.7.01.01.01.012.00006,Beton Instan,2025-10-10,ZAK,K225,345.0,Gudang Pantai
1.1.7.01.02.04.006.00100,Bulkhead Fitting uk. 2 inch,2025-10-10,Buah,,19.0,Gudang Pantai
1.1.7.02.02.06.001.00088,Corong Talang,2025-10-10,Buah,Kotak PVC uk. 4 inch,17.0,Gudang Pantai
1.1.7.02.02.06.001.00116,Elbow 90,2025-10-10,Buah,"Spesifikasi : uk. 6, type AW",1.0,Gudang Pantai
1.1.7.02.02.06.001.00116,Elbow 90,2025-10-10,Buah,"Spesifikasi : uk. 6, type AW",30.0,Gudang Abal 
1.1.7.02.02.06.001.00188,Elbow 90,2025-10-10,Buah,"Spesifikasi : uk. 2, type AW",6.0,Gudang Abal 
1.1.7.02.02.06.001.00182,Elbow 90,2025-10-10,Buah,"Spesifikasi : uk. 3, type AW",7.0,Gudang Abal 
1.1.7.02.02.06.001.00135,Elbow 90,2025-10-10,Buah,"Spesifikasi : uk. 4, type AW",18.0,Gudang Abal 
1.1.7.02.02.06.001.00134,Elbow 90,2025-10-10,Buah,"Spesifikasi : uk. 4, type AW",22.0,Gudang Pantai
1.1.7.02.02.06.001.00117,Elbow 90,2025-10-10,Buah,"Spesifikasi : uk. 8, type AW",5.0,Gudang Pantai
1.1.7.02.02.06.001.00169,Elbow 45,2025-10-10,Buah,"Spesifikasi : uk. 2, type AW",12.0,Gudang Abal 
1.1.7.02.02.04.001.00006,Elbow 45,2025-10-10,Buah,"Spesifikasi : uk. 6, type AW",30.0,Gudang Abal 
1.1.7.02.02.04.001.00005,Elbow 45,2025-10-10,Buah,"Spesifikasi : uk. 4, type AW",83.0,Gudang Pantai
1.1.7.01.03.07.015.00002,Drum Plastik,2025-10-10,Buah,warna biru uk. 200 Liter,27.0,Gudang Pantai
1.1.7.02.02.06.003.00001,Flange,2025-10-10,Buah,PVC uk. 2 inch,24.0,Gudang Pantai
1.1.7.01.01.04.003.00049,Gemuk,2025-10-10,Buah,Pelumas / Stemplet,3.0,Gudang Abal 
1.1.7.01.01.04.003.00049,Gemuk,2025-10-10,Buah,Pelumas / Stemplet,2.0,Gudang Pantai
1.1.7.02.02.03.004.00006,Klem / Penjepit,2025-10-10,Buah,Pipa uk. 4 inch,171.0,Gudang Pantai
1.1.7.01.01.05.002.00061,Papan Terentang,2025-10-10,Lembar,uk. 2x20 cm @4 m,1.0,Gudang Pantai
1.1.7.02.02.06.001.00034,Reducer Vlok Sock,2025-10-10,Buah,6x4 type AW,11.0,Gudang Abal 
1.1.7.02.02.06.001.00161,Reducer Vlok Sock,2025-10-10,Buah,4x3 type AW,13.0,Gudang Abal 
1.1.7.02.02.06.001.00136,Reducer Vlok Sock,2025-10-10,Buah,4x2 type AW,34.0,Gudang Abal 
1.1.7.02.02.06.001.00136,Reducer Vlok Sock,2025-10-10,Buah,4x2 type AW,19.0,Gudang Pantai
1.1.7.02.02.04.001.00017,Sambungan Talang Air Kotak,2025-10-10,,Uk. 4 Inch,4.0,Gudang Pantai
1.1.7.02.02.06.001.00038,Sock Drat Dalam,2025-10-10,Buah,Spesifikasi : uk 1/2 type AW,17.0,Gudang Pantai
1.1.7.02.02.04.001.00015,Sock Drat Dalam,2025-10-10,Buah,Spesifikasi : uk 2 type AW,40.0,Gudang Abal 
1.1.7.02.02.06.001.00038,Sock Drat Dalam,2025-10-10,Buah,Spesifikasi : uk 1/2 type AW,45.0,Gudang Abal 
1.1.7.02.02.04.001.00015,Sock Drat Dalam,2025-10-10,Buah,Spesifikasi : uk 2 type AW,35.0,Gudang Pantai
1.1.7.02.02.06.001.00037,Sock Drat Dalam,2025-10-10,Buah,Spesifikasi : uk 1 type AW,40.0,Gudang Pantai
1.1.7.02.02.06.001.00039,Sock Drat Luar,2025-10-10,Buah,Spesifikasi : uk 1/2 type AW,40.0,Gudang Pantai
1.1.7.02.02.06.003.00031,Sock Drat Luar,2025-10-10,Buah,Spesifikasi : uk 2 type AW,45.0,Gudang Abal 
1.1.7.02.02.06.001.00039,Sock Drat Luar,2025-10-10,Buah,Spesifikasi : uk 1/2 type AW,40.0,Gudang Abal 
1.1.7.02.02.06.003.00031,Sock Drat Luar,2025-10-10,Buah,Spesifikasi : uk 2 type AW,20.0,Gudang Pantai
1.1.7.02.02.04.001.00018,Sock TY,2025-10-10,Buah,"UK 4-6'' AW, merk Rucika",47.0,Gudang Abal 
1.1.7.02.02.06.001.00098,Sock Drat Luar,2025-10-10,Buah,Spesifikasi : uk 1 type AW,14.0,Gudang Pantai
1.1.7.01.02.02.001.02247,Specer,2025-10-10,Buah,Uk. 4 Inch,116.0,Gudang Pantai
,Steker Listrik,2025-10-10,Buah,,1.0,Gudang Pantai
1.1.7.01.03.09.007.00108,Terpal,2025-10-10,Buah,uk. A12 (6x9) m2,1.0,Gudang Abal 
1.1.7.01.03.09.007.00108,Terpal,2025-10-10,Buah,uk. A12 (6x9) m2,2.0,Gudang Pantai
1.1.7.01.01.05.002.00049,Triplek,2025-10-10,Lembar,Spesifikasi uk. 1220x2440x9 mm,15.0,Gudang Abal 
1.1.7.01.01.05.002.00048,Triplek,2025-10-10,Lembar,Spesifikasi uk. 1220x2440x12 mm,16.0,Gudang Abal 
1.1.7.01.01.05.002.00048,Triplek,2025-10-10,Lembar,Spesifikasi uk. 1220x2440x12 mm,3.0,Gudang Pantai
1.1.7.02.02.06.001.00087,Watermur PVC,2025-10-10,Buah,uk. 1 inch,18.0,Gudang Pantai
1.1.7.02.02.06.001.00048,Watermur PVC,2025-10-10,Buah,uk. 2 inch,40.0,Gudang Pantai
1.1.7.02.02.06.001.00245,Watermur PVC,2025-10-10,Buah,uk. 3 inch,10.0,Gudang Abal 
1.1.7.02.02.06.001.00048,Watermur PVC,2025-10-10,Buah,uk. 2 inch,50.0,Gudang Abal 
1.1.7.01.03.08.009.00019,Air Accu,2025-10-10,Botol,1 LITER,12.0,Gudang Abal 
,"Aki 12v-120 Ah, type N120",2025-10-10,Buah,,1.0,Gudang Abal 
1.1.7.01.01.01.005.00019,Batu Bata Merah,2025-10-10,Buah,Spesifikasi : uk 20x10x5cm,3805.0,Gudang Abal 
1.1.7.01.01.01.005.00048,Batu Bata Ringan ,2025-10-10,Buah ,Spesifikasi : uk 10x20x60cm,30.0,Gudang Abal 
1.1.7.01.01.01.005.00009,Batu Split/Pecah ,2025-10-10,m3,Spesifikasi : uk. 2-3cm ,2.777777778,Gudang Abal 
1.1.7.01.01.04.001.00002,BBM Pertamax,2025-10-10,Liter ,,105.0,Gudang Abal 
1.1.7.01.01.04.001.00013,BBM Solar ,2025-10-10,Liter ,,320.0,Gudang Abal 
1.1.7.01.01.01.012.00078,Besi Beton Polos ,2025-10-10,Batang ,10 mm.SNI,45.0,Gudang Abal 
1.1.7.01.01.01.012.00077,Besi Beton Polos ,2025-10-10,Batang ,12 mm.SNI,25.0,Gudang Abal 
1.1.7.01.01.01.012.00080,Besi Beton Polos ,2025-10-10,Batang ,6 mm.SNI,67.0,Gudang Abal 
1.1.7.01.01.01.012.00079,Besi Beton Polos ,2025-10-10,Batang ,8 mm. SNI,21.0,Gudang Abal 
1.1.7.01.01.01.002.00027,Beton Instan ,2025-10-10,Zak,k-175 ,90.0,Gudang Abal 
1.1.7.01.01.01.012.00006,Beton Instan ,2025-10-10,Zak,k-225,5.0,Gudang Abal 
1.1.7.01.03.07.006.00017,Tali Tambang Nilon,2025-10-10,Pail,uk. 8 mm,2.0,Gudang Abal 
1.1.7.02.02.06.001.00090,Tee Pipa PVC,2025-10-10,Buah ,"Spesifikasi : uk.6 "",AW",14.0,Gudang Abal 
1.1.7.02.02.06.001.00165,Tee Pipa PVC,2025-10-10,Buah ,"Spesifikasi : uk.2 "",AW",17.0,Gudang Abal 
1.1.7.02.02.06.001.00183,Tee Pipa PVC,2025-10-10,Buah ,"Spesifikasi : uk.4 "",AW",22.0,Gudang Abal 
1.1.7.01.03.07.003.00089,Jerigen Plastik,2025-10-10,Buah,uk. 25 LITER,15.0,Gudang Abal 
1.1.7.01.03.08.001.00223,"Kabel NYYHY 2x1,5 mm2",2025-10-10,Meter,"NYYHY 2x1,5 mm2",100.0,Gudang Abal 
1.1.7.01.03.08.001.00267,Kabel NYYHY 4x4 mm2,2025-10-10,Meter,NYYHY 4x4 mm2,100.0,Gudang Abal 
1.1.7.01.05.01.008.00015,Karet Packing,2025-10-10,Lembar,uk. 5 cm,1.0,Gudang Abal 
1.1.7.01.01.01.002.00013,Mortar Acian & Plester,2025-10-10,ZAK,40 kg,5.0,Gudang Abal 
1.1.7.01.01.01.002.00016,Mortar Perekat bata ringan,2025-10-10,zak,40 kg,10.0,Gudang Abal 
1.1.7.01.01.04.002.00046,Oli mesin diesel,2025-10-10,botol,,4.0,Gudang Abal 
1.1.7.01.01.01.004.00016,Pasir Pasang,2025-10-10,m3,,4.464285714,Gudang Abal 
1.1.7.01.01.01.004.00015,Pasir Urug,2025-10-10,m3,,4.821428571,Gudang Abal 
1.1.7.02.02.03.004.00032,Pipa Galvanis,2025-10-10,Batang,uk. 1 panjang 6 m,2.0,Gudang Abal 
