kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.008.00008,Baja WF uk. <= 200 mm),2025-07-31,kg,Lebih kecil sama dengan 200Mm,4.864.0
1.1.7.01.01.01.005.00025,Bata Ringan 60cmx20cmx10cm,2025-07-31,M3,"60 X 20 Cm, Tebal 10 Cm",13.0
1.1.7.01.01.01.005.00019,Batu Bata Merah,2025-07-31,Buah,Merah Kelas 1,27.095.0
1.1.7.01.03.13.001.00038,Benang Nylon,2025-07-31,gulung,"Benang Nylon, Gulungan",4485.0
1.1.7.01.01.01.012.00083,Besi Beton Polos 10,2025-07-31,kg,,35608.8
1.1.7.01.01.01.012.00078,Besi Beton Polos 10,2025-07-31,btg,,500.0
1.1.7.01.01.01.012.00085,Besi Beton Polos 16,2025-07-31,kg,,2646.0
1.1.7.01.01.01.012.00076,Besi Beton Polos 16,2025-07-31,btg,,30.0
1.1.7.01.01.01.012.00128,Besi Plat,2025-07-31,kg,,16.0
1.1.7.01.01.01.012.00119,Besi Plat 10 mm,2025-07-31,kg,,3266.4
1.1.7.01.01.01.012.00118,Besi Plat 3 mm,2025-07-31,kg,,980.0
1.1.7.01.01.01.012.00017,"Besi WF 200x100x5,5x8 Mm-12 M",2025-07-31,Btg,,5.0
1.1.7.01.01.01.015.00003,Buis Beton,2025-07-31,buah,"Bulat, Buis Beton Dia. 30 Cm Tanpa Tulang, Panjang 1.0 M",42.0
1.1.7.01.01.01.006.00070,Cat Pylox Merah,2025-07-31,Buah,,3.0
1.1.7.01.01.01.006.00069,Cat Pylox Putih ,2025-07-31,Buah,,3.0
1.1.7.01.01.01.006.00016,Cat Tembok Dalam,2025-07-31,Kaleng,,130.0
1.1.7.01.01.01.006.00010,Cat Tembok Luar Warna Biasa isi 3.5 kg,2025-07-31,Galon,,26.0
1.1.7.01.01.01.006.00021,Cat Tembok Warna Biru 25 kg,2025-07-31,Pail,,5.0
1.1.7.01.01.01.006.00021,Cat Tembok Warna Putih 25 kg,2025-07-31,Pail,,15.0
1.1.7.01.01.01.006.00013,Cat Tembok Weather Shield  23 kg ,2025-07-31,kg,,529.0
1.1.7.01.01.01.018.00002,Corrugate Sheet Pile W 350-1000 type B panjang 15 cm ,2025-07-31,m,,337.34
1.1.7.02.02.03.004.00047,"Dop Pipa PVC 4"" ",2025-07-31,Buah,"Ukuran 4""",244.0
1.1.7.01.01.01.024.00024,Dynabolt 12 Mm,2025-07-31,Buah,"12 Mm, Mur Baut",798.0
1.1.7.02.01.06.003.00078,Engsel Pintu,2025-07-31,set,,36.0
1.1.7.01.01.01.002.50005,Gypsum,2025-07-31,Lembar,"Tbl 9Mm, Uk 120X240, Knauf",93.0
1.1.7.01.01.01.012.00043,Hollow Plafon Galvalum,2025-07-31,Batang,"T=0,35Mm, 2X4X400 Cm",244.0
1.1.7.01.01.01.020.00007,Karung Plastik ,2025-07-31,Lbr,,509.000.0
1.1.7.01.01.05.001.00020,Kawat Beton 25kg,2025-07-31,kg,,10.125.0
1.1.7.01.01.05.001.00015,Kawat Las,2025-07-31,Dus,Uk. 2.6 Mm dan 3.0 Mm Berat 5 Kg,329.0
1.1.7.01.01.05.001.00014,Kawat las 2 mm,2025-07-31,Kg,,110.0
1.1.7.01.01.05.002.00005,Kayu Dolken ,2025-07-31,Batang,,700.0
1.1.7.01.01.01.013.00051,Keramik 20x20 cm,2025-07-31,m2,20x20 cm,264.0
1.1.7.01.01.01.013.00052,Keramik 30x30 cm,2025-07-31,m2,30x30 cm,392.0
1.1.7.02.02.03.004.00006,"Klem Pipa 2"" ",2025-07-31,Buah,,299.0
1.1.7.02.02.03.004.00006,"Klem Pipa 3"" ",2025-07-31,Buah,,24.0
1.1.7.02.02.03.004.00006,"Klem Pipa 4"" ",2025-07-31,Buah,,12.0
1.1.7.01.02.01.003.00110,Kunci Jendela Sliding,2025-07-31,Buah,Stainless Steel,13.0
1.1.7.01.03.01.010.00135,Lem Pipa PVC ,2025-07-31,Buah,"Lokal, Standar SNI, 400 Gr",152.0
1.1.7.01.01.01.014.00010,Metal Roof Nok Genteng ,2025-07-31,Lbr,"Imw Nok Kotak Panjang 914 Mm Tebal 0,25 Colour",526.0
1.1.7.01.01.01.014.00017,Nok Asbes ,2025-07-31,Lbr,,75.0
1.1.7.01.01.01.011.00023,Pagar Panel Beton Uk 50x400x2400 mm,2025-07-31,Batang,Panel 50X400X2400 Mm,198.0
1.1.7.01.01.01.027.00020,Paku,2025-07-31,kg,,1.723.0
1.1.7.01.01.01.027.00020,Paku Beton,2025-07-31,Kg,,98.0
1.1.7.01.01.05.002.00046,Papan Terentang ,2025-07-31,m3,"Papan Uk. 2X30X400 Cm,17",35.0
1.1.7.02.01.06.003.00046,Pintu PVC ,2025-07-31,Unit,,34.0
1.1.7.02.02.06.001.00005,Pipa PVC 3/4 ,2025-07-31,Batang,Type AW,207.0
1.1.7.02.02.06.001.00006,"Pipa PVC Dia 1"" ",2025-07-31,Batang,Type AW,199.0
1.1.7.02.02.06.001.00122,"Pipa PVC Dia 2""",2025-07-31,btg,Type AW,114.0
