No,Kode,Nama Barang,Spesifikasi,Satuan
1,1.1.7.01.03.09.001.00001,Velkro,Kain perekat,ROLL
2,1.1.7.01.03.09.002.00007,Helm Lapangan,Safety Helmet,BUAH
3,1.1.7.01.03.09.002.00012,HELM PROYEK,"BAHAN : PLASTIK,",BUAH
4,1.1.7.01.03.09.002.00022,Topi,Bordir Nama,BUAH
5,1.1.7.01.03.09.003.00160,Celana Panjang,Jeans,BUAH
6,1.1.7.01.03.09.003.00174,Kaos,"Lengan Panjang, Warna Dasar Biru/ Orange, Catton Kampung Siaga Bencana Dan Dki Jakarta",BUAH
7,1.1.7.01.03.09.003.00175,KAOS,BAHAN KATUN UKURAN STANDAR,BUAH
8,1.1.7.01.03.09.003.00181,Kaos,Berkerah,POTONG
9,1.1.7.01.03.09.003.00186,Kaos Oblong,Bahan : Katun,BUAH
10,1.1.7.01.03.09.003.00225,Pakaian Dinas Harian,Petugas Kemanan,STEL
11,1.1.7.01.03.09.004.00029,Sarung Tangan Kulit,Pelindung Tangan,PASANG
12,1.1.7.01.03.09.004.00030,Sarung Tangan Las,"Argon, Kulit Lembut Fleksibel Size 12""",PASANG
13,1.1.7.01.03.09.004.00056,Sarung Tangan Kain,"Bahan Kain Rajut, Berkualitas dan Tidak Mudah Rusak",BUAH
14,1.1.7.01.03.09.004.00059,Sarung Tangan Kain,-,LUSIN
15,1.1.7.01.03.09.004.00061,SARUNG TANGAN KARET,-,PACK
16,1.1.7.01.03.09.004.00066,Sarung Tangan Karet,"Latex, Disposable",BOX
17,1.1.7.01.03.09.004.00088,Sarung tangan,-,PASANG
18,1.1.7.01.03.09.005.00008,Safety Shoes,-,PASANG
19,1.1.7.01.03.09.005.00026,SEPATU BOOT,SAFETY SHOES,PASANG
20,1.1.7.01.03.09.005.00029,SEPATU BOOT,"BAHAN : KARET, WARNA HITAM BAGIAN DALAM.",STEL
21,1.1.7.01.03.09.005.00032,SEPATU BOOT,-,BUAH
22,1.1.7.01.03.09.005.00062,Sepatu Safety,-,PASANG
23,1.1.7.01.03.09.005.00065,Sepatu Safety,"Kwd805C/ 805, Grain Leather Pull-Up Boot, Dual Density Pu Outsole, Pu Foam Insole",PASANG
24,1.1.7.01.03.09.007.00003,Golok,"uk. p. 50 cm, ex. lokal, bahan besi",BUAH
25,1.1.7.01.03.09.007.00006,BLENCONG,"BESI BAJA, RUNCING, PIPIH",BUAH
26,1.1.7.01.03.09.007.00027,CANGKUL,STANDART GAGANG KAYU,BUAH
27,1.1.7.01.03.09.007.00031,Linggis,"Bahan Besi, Uk. Standar",BUAH
28,1.1.7.01.03.09.007.00039,Cangkrang,"Besi, Gagang Tangkai Besi Uk. Standart",BUAH
29,1.1.7.01.03.09.007.00068,KAPE,BERBAHAN KAYU DAN PLAT,BUAH
