kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.002.00007,SEMEN,2024-10-02,ZAK,50 KG,0.0
1.1.7.01.01.01.002.00007,SEMEN,2025-03-24,ZAK,50 KG,379.0
1.1.7.01.01.01.002.00026,Semen Grouting,2020-01-02,KG,,872.0
1.1.7.01.01.01.004.00004,Pasir,2024-04-30,M3,Beton,0.0
1.1.7.01.01.01.004.00004,Pasir,2025-03-05,M3,Beton,1290.0
1.1.7.01.01.01.004.00005,PASIR,2024-02-22,M3,PASANG,0.0
1.1.7.01.01.01.004.00005,PASIR,2025-03-05,M3,PASANG,246.0
1.1.7.01.01.01.005.00001,Batu Belah,2023-09-20,M3,,0.0
1.1.7.01.01.01.005.00001,Batu Belah,2025-03-24,M3,,1553.0
1.1.7.01.01.01.005.00009,Batu Pecah,2023-07-21,M3,Ukuran 2/3,35.0
1.1.7.01.01.01.005.00009,Batu Pecah,2024-05-02,M3,Ukuran 2/3,481.0
1.1.7.01.01.01.006.00008,CAT TEMBOK,2024-05-16,KALENG,(LUAR) PUTIH ISI 20 LITER,0.0
1.1.7.01.01.01.006.00009,Cat Tembok,2024-05-16,KALENG,(Luar) Warna Isi 20 Liter,0.0
1.1.7.01.01.01.006.00015,Cat Tembok,2024-05-16,KALENG,(Dalam) Putih Isi 20 Liter,0.0
1.1.7.01.01.01.006.00016,Cat Tembok,2024-05-16,KALENG,(Dalam) Warna Isi 20 Liter,0.0
1.1.7.01.01.01.006.00076,CAT TEMBOK,2023-03-15,KALENG,1 PEL (25 KG),0.0
1.1.7.01.01.01.006.00175,CAT MINYAK,2024-10-28,KALENG,ISI 5 LITER,0.0
1.1.7.01.01.01.007.00031,Asbes Gelombang Besar,2023-11-01,LEMBAR,"Uk. 250x102x0,5 cm",21.0
1.1.7.01.01.01.008.00011,KANAL GALVALUM,2023-04-11,BATANG,C75X60 MM- 6M,6.0
1.1.7.01.01.01.008.00013,Reng Galvalum,2023-04-11,BATANG,Re 30X45 Mm - 6M,129.0
1.1.7.01.01.01.012.00077,Besi Beton,2024-10-28,BATANG,"Dia 12 Mm, 12M",1011.0
1.1.7.01.01.01.012.00078,Besi Beton,2022-11-29,BATANG,"Dia 10 Mm, 12M",0.0
1.1.7.01.01.01.012.00078,Besi Beton,2023-08-08,BATANG,"Dia 10 Mm, 12M",0.0
1.1.7.01.01.01.012.00078,Besi Beton,2023-09-20,BATANG,"Dia 10 Mm, 12M",0.0
1.1.7.01.01.01.012.00078,Besi Beton,2024-07-02,BATANG,"Dia 10 Mm, 12M",0.0
1.1.7.01.01.01.012.00078,Besi Beton,2025-03-24,BATANG,"Dia 10 Mm, 12M",1978.0
1.1.7.01.01.01.012.00079,Besi Beton,2022-11-29,BATANG,"Dia 8 Mm, 12M",5209.0
