kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.04.002.00086,Gemuk (Grease),2024-07-17,PEIL,Nlgi Grade : 2 ; Soap Lithium 12-Hydroxystearate,0.0
1.1.7.01.01.04.002.00086,Gemuk (Grease),2025-05-19,PEIL,Nlgi Grade : 2 ; Soap Lithium 12-Hydroxystearate,58.0
1.1.7.01.01.04.002.00112,Oli Mesin,2024-07-17,LITER,Uk : 20 W 50,13.0
1.1.7.01.01.04.002.00117,Oli Mesin,2020-01-02,LITER,20W50/ Mesran,0.0
1.1.7.01.01.04.002.00117,Oli Mesin,2022-10-07,LITER,20W50/ Mesran,0.0
1.1.7.01.01.04.002.00117,Oli Mesin,2025-05-19,LITER,20W50/ Mesran,50.0
1.1.7.01.01.04.002.00192,Oli,2023-11-13,LITER,Oli 10W-40,24.0
1.1.7.01.01.04.002.05001,Oli Rored,2024-07-17,GALON,EPA SAE 140 (4 liter/galon),28.0
1.1.7.01.01.04.002.05001,Oli Rored,2025-05-19,GALON,EPA SAE 140 (4 liter/galon),300.0
1.1.7.01.01.04.002.05002,Oli Meditran,2024-07-17,DRUM,Oli SAE 40 Meditran (209 liter/drum),0.0
1.1.7.01.01.04.002.05002,Oli Meditran,2025-05-19,DRUM,Oli SAE 40 Meditran (209 liter/drum),2.0
1.1.7.01.01.04.002.05003,Oli,2024-07-17,JERIGEN,Oli 10W-40 (1 liter/Jerigen),102.0
1.1.7.01.01.04.002.05003,Oli,2025-05-19,JERIGEN,Oli 10W-40 (1 liter/Jerigen),180.0
1.1.7.01.01.04.002.05004,Oli Gearbox,2024-07-17,DRUM,ISO VG 220 (200 liter/drum),0.0
1.1.7.01.01.04.002.05004,Oli Gearbox,2025-05-19,DRUM,ISO VG 220 (200 liter/drum),6.0
1.1.7.01.01.04.002.05005,Oli Rored,2024-07-17,GALON,EPA SAE 90 (5 liter/galon),0.0
1.1.7.01.01.04.002.05005,Oli Rored,2025-05-19,GALON,EPA SAE 90 (5 liter/galon),80.0
1.1.7.01.01.04.002.05006,Oli Diesel,2025-05-19,GALON,Oli Synthetic Diesel SAE 40 (5 liter/galon),48.0
1.1.7.01.01.04.002.05007,Oli Mesin,2024-07-17,JERIGEN,SAE 10W-40 (4 liter/Jerigen),0.0
