kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.002.00007,SEMEN,2025-06-13,ZAK,50 KG,3187.0
1.1.7.01.01.01.003.00004,Kaca Bening,2022-11-03,M2,8 Mm,34.0
1.1.7.01.01.01.004.00004,Pasir,2023-12-15,M3,Beton,362.97
1.1.7.01.01.01.004.00004,Pasir,2024-05-15,M3,Beton,500.0
1.1.7.01.01.01.004.00004,Pasir,2025-06-02,M3,Beton,707.25
1.1.7.01.01.01.004.00004,Pasir,2025-06-13,M3,Beton,964.62
1.1.7.01.01.01.004.00015,Pasir Urug,2022-11-10,M3,,170.65
1.1.7.01.01.01.004.00015,Pasir Urug,2022-12-15,M3,,678.65
1.1.7.01.01.01.004.00015,Pasir Urug,2022-12-19,M3,,1651.7
1.1.7.01.01.01.004.00016,Pasir Pasang,2022-12-19,M3,,621.5
1.1.7.01.01.01.004.00016,Pasir Pasang,2022-12-31,M3,,1728.5
1.1.7.01.01.01.004.00016,Pasir Pasang,2023-06-30,M3,,7.0
1.1.7.01.01.01.004.00016,Pasir Pasang,2025-06-02,M3,,5000.0
1.1.7.01.01.01.004.50002,Makadam,2024-11-09,M3,Ukuran 5/7,446.0
1.1.7.01.01.01.005.00001,Batu Belah,2025-06-02,M3,,4462.0
1.1.7.01.01.01.005.00017,Batu Kerikil,2022-12-31,M3,Beton,1213.07
1.1.7.01.01.01.005.00017,Batu Kerikil,2023-06-30,M3,Beton,24.93
1.1.7.01.01.01.005.00017,Batu Kerikil,2025-06-02,M3,Beton,1710.0
1.1.7.01.01.01.005.00020,BATU BATA,2025-07-01,BUAH,MERAH KELAS 2,4890.0
1.1.7.01.01.01.005.00039,Blander Las Potong,2024-09-13,BUAH,Standart Sni,10.0
1.1.7.01.01.01.005.00048,Bata Ringan,2024-05-15,BUAH,,5781.0
1.1.7.01.01.01.005.00071,Paving Block,2020-01-02,BUAH,Warna Khusus Warna Reguler Rectangularpave Tebal 8Cm,1816.0
1.1.7.01.01.01.006.00050,Cat Kayu/ Besi,2022-11-17,KG,,16.0
1.1.7.01.01.01.006.00053,Plamur Tembok,2022-11-17,GALON,5 Kg,8.0
1.1.7.01.01.01.006.00197,Pylox,2024-09-13,BOTOL,Cat Semprot (Warna Optional),5.0
1.1.7.01.01.01.006.00200,Cat tembok,2024-12-07,PAIL,Spesifikasi : luar (weather shield) warna putih,5.0
1.1.7.01.01.01.007.00033,Spandek,2025-06-02,LEMBAR,Kanopi,493.00
1.1.7.01.01.01.008.00002,Grendel Jendela,2022-11-30,PCS,Rambuncis Alumunium,28.0
1.1.7.01.01.01.008.00003,Kunci Silinder,2022-11-03,SET,,1.0
1.1.7.01.01.01.008.00026,Plat Baja,2024-07-01,KG,"Tebal 25 mm panjang 2.4 m, lebar 2.4 m",1166.0
1.1.7.01.01.01.008.00043,Plat Baja,2024-07-01,KG,Tebal 5 Mm,351.0
1.1.7.01.01.01.011.00027,Panel Pagar Precast Mutu K225,2020-01-02,BUAH,5X40X240 Cm,872.0
1.1.7.01.01.01.011.00046,Menara Air,2022-11-04,BUAH,Tinggi 3 m,1.0
1.1.7.01.01.01.012.00007,Besi Siku,2024-07-01,BATANG,Uk. 60.60.6 Panjang 6 M,100.0
1.1.7.01.01.01.012.00009,Besi Siku,2024-07-01,BATANG,Uk. 40.40.3 Panjang 6 M,29.0
1.1.7.01.01.01.012.00009,Besi Siku,2025-06-02,BATANG,Uk. 40.40.3 Panjang 6 M,75.0
1.1.7.01.01.01.012.00020,Besi Unp,2022-12-08,BATANG,,3.0
1.1.7.01.01.01.012.00028,Besi Hollow,2023-05-02,BATANG,20X40 Mm Dia. Tebal 2 Mm,25.0
1.1.7.01.01.01.012.00028,Besi Hollow,2025-06-02,BATANG,20X40 Mm Dia. Tebal 2 Mm,499.0
1.1.7.01.01.01.012.00028,Besi Hollow,2025-06-02,BATANG,20X40 Mm Dia. Tebal 2 Mm,1.0
1.1.7.01.01.01.012.00031,Besi Hollow,2024-07-01,BATANG,30X30 Mm Diam Tebal 2Mm,56.0
1.1.7.01.01.01.012.00031,Besi Hollow,2025-06-02,BATANG,30X30 Mm Diam Tebal 2Mm,499.0
1.1.7.01.01.01.012.00031,Besi Hollow,2025-06-02,BATANG,30X30 Mm Diam Tebal 2Mm,1.0
1.1.7.01.01.01.012.00035,Besi Hollow,2024-07-01,BATANG,40X40 Mm Dia. Tebal 2 Mm,12.0
1.1.7.01.01.01.012.00039,Besi Hollow,2023-05-02,BATANG,50X50 Mm Dia. Tebal 2 Mm,1.0
1.1.7.01.01.01.012.00039,Besi Hollow,2025-07-01,BATANG,50X50 Mm Dia. Tebal 2 Mm,500.0
1.1.7.01.01.01.012.00061,Besi Plat Strip,2020-01-02,BATANG,3x30x6000 mm,460.0
1.1.7.01.01.01.012.00064,Besi Siku,2022-09-28,BATANG,L 70,62.0
