kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.015.00009,U-Ditch,2024-10-21,UNIT,Panjang Efektif 1.20 M U 400/ 600,1
1.1.7.01.01.01.015.00012,U-Ditch,2024-10-21,UNIT,Panjang Efektif 1.20 M U 600/ 800,20
1.1.7.01.01.01.015.00013,U-Ditch,2024-09-24,UNIT,Panjang Efektif 1.20 M U 800/ 800,100
1.1.7.01.01.01.015.00017,U-Ditch,2024-11-07,UNIT,Panjang Efektif 1.20 M U 1200/ 1200,30
1.1.7.01.01.01.015.00020,U-Ditch,2025-07-03,UNIT,U-Ditch 600X600 Mmx1200Mm,246 
1.1.7.01.01.01.015.00025,Box Culvert,2022-12-31,UNIT,"Bc 1200X1200 High Duty Panjang 1,00 M",8
1.1.7.01.01.01.015.00029,Box Culvert,2020-01-02,UNIT,"Bc 1500X1500 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",20
1.1.7.01.01.01.015.00039,Tutup U-Ditch,2024-11-07,UNIT,"Tutup U-Ditch 1000 Mm, Heavy Duty (Hd)",44
1.1.7.01.01.01.015.00056,Saluran U Ditch,2020-01-02,UNIT,"Terpasang, Ukuran 1000 x 1000 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",6
1.1.7.01.01.01.015.00057,Saluran U Ditch,2020-01-02,UNIT,"Terpasang, Ukuran 1200 x 1200 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",125
1.1.7.01.01.01.015.00095,Saluran Terbuka,2023-12-31,UNIT,"Tipe U-ditch 800x800 mm Duty Panjang Efektik 1200 mm",31
