kode,nama_barang,tanggal,satuan,merk,stok
1.1.7.01.01.01.002.00007,SEMEN,2024-10-31,ZAK,50 KG,0.0
1.1.7.01.01.01.002.00007,SEMEN,2024-11-30,ZAK,50 KG,0.0
1.1.7.01.01.01.002.00007,SEMEN,2024-12-31,ZAK,50 KG,0.0
1.1.7.01.01.01.002.00007,SEMEN,2025-06-30,ZAK,50 KG,8018.0
1.1.7.01.01.01.004.00004,Pasir,2024-11-30,M3,Beton,97.31
1.1.7.01.01.01.004.00004,Pasir,2025-06-30,M3,Beton,1200.0
1.1.7.01.01.01.004.00005,PASIR,2024-07-31,M3,PASANG,0.0
1.1.7.01.01.01.004.00005,PASIR,2024-09-30,M3,PASANG,0.0
1.1.7.01.01.01.004.00005,PASIR,2025-06-30,M3,PASANG,966.1
1.1.7.01.01.01.005.00001,Batu Belah,2023-08-31,M3,,0.0
1.1.7.01.01.01.005.00001,Batu Belah,2024-06-30,M3,,0.0
1.1.7.01.01.01.005.00001,Batu Belah,2024-07-31,M3,,598.77
1.1.7.01.01.01.005.00001,Batu Belah,2024-08-31,M3,,930.37
1.1.7.01.01.01.005.00001,Batu Belah,2024-09-30,M3,,414.86
1.1.7.01.01.01.005.00008,Batu Pecah,2024-08-31,M3,Ukuran 1/2 Cm,0.0
1.1.7.01.01.01.005.00008,Batu Pecah,2024-09-30,M3,Ukuran 1/2 Cm,51.0
1.1.7.01.01.01.005.00008,Batu Pecah,2024-11-30,M3,Ukuran 1/2 Cm,940.0
1.1.7.01.01.01.005.00050,Batu Bata,2023-05-31,BUAH,,0.0
1.1.7.01.01.01.006.00050,Cat Kayu/ Besi,2022-09-20,KG,,51.0
1.1.7.01.01.01.006.00153,Cat Besi,2020-01-02,KG,Cat Besi Eksterior Warna Merah Hati,24.0
1.1.7.01.01.01.006.00157,Cat Besi,2020-01-02,KG,Cat Besi Eksterior Warna Hijau,83.0
1.1.7.01.01.01.006.00160,Water Proofing,2020-01-02,KG,Cat lapis anti air/anti bocor,0.0
1.1.7.01.01.01.006.00200,Cat tembok,2024-12-31,PAIL,Spesifikasi : luar (weather shield) warna putih,0.0
1.1.7.01.01.01.006.00201,Cat tembok,2023-11-30,PAIL,Spesifikasi : luar (weather shield) warna abu-abu,0.0
1.1.7.01.01.01.006.00201,Cat tembok,2024-06-30,PAIL,Spesifikasi : luar (weather shield) warna abu-abu,23.0
1.1.7.01.01.01.006.00202,Cat tembok,2024-06-30,PAIL,Spesifikasi : luar (weather shield) warna kuning,0.0
1.1.7.01.01.01.006.00202,Cat tembok,2024-12-31,PAIL,Spesifikasi : luar (weather shield) warna kuning,21.0
1.1.7.01.01.01.006.00203,Cat tembok,2024-06-30,PAIL,Spesifikasi : luar (weather shield) warna hitam,27.0
1.1.7.01.01.01.006.00204,Cat tembok,2024-12-31,PAIL,Spesifikasi : luar (weather shield) warna biru,13.0
1.1.7.01.01.01.006.05015,Cat Besi/Kayu,2024-11-30,KALENG,Warna White,30.0
1.1.7.01.01.01.006.05016,Cat Besi/Kayu,2024-11-30,KALENG,Warna Coral Spring,60.0
1.1.7.01.01.01.006.05017,Cat Besi/Kayu,2024-11-30,KALENG,Warna Sunshine Canary,0.0
1.1.7.01.01.01.006.05019,Cat Dasar,2024-11-30,KALENG,Harka (Manny) NC White,0.0
1.1.7.01.01.01.006.05020,Cat Body Anti Karat dan Bocor,2024-11-30,KALENG,Seiv Paint 007,22.0
1.1.7.01.01.01.006.05021,Cat Duco,2024-11-30,KALENG,Light Vermiliion Red,60.0
1.1.7.01.01.01.006.05022,Cat Besi/Kayu,2024-11-30,KALENG,Warna Pandan Green,60.0
1.1.7.01.01.01.008.00049,Kanal C,2024-11-30,BATANG,100 X 50 X 20 X 2.3 MM X 6 meter SNI,8.0
1.1.7.01.01.01.008.00051,Kanal C,2024-11-30,BATANG,75 x 45 x 20 x 2.3 MM x 6 meter SNI,0.0
1.1.7.01.01.01.012.00007,Besi Siku,2024-06-30,BATANG,Uk. 60.60.6 Panjang 6 M,46.0
1.1.7.01.01.01.012.00028,Besi Hollow,2024-06-30,BATANG,20X40 Mm Dia. Tebal 2 Mm,0.0
1.1.7.01.01.01.012.00028,Besi Hollow,2024-11-30,BATANG,20X40 Mm Dia. Tebal 2 Mm,67.0
1.1.7.01.01.01.012.00039,Besi Hollow,2024-11-30,BATANG,50X50 Mm Dia. Tebal 2 Mm,63.0
1.1.7.01.01.01.012.00057,Besi hollow,2024-06-30,BATANG,Ukuran 40 mm x 40 mm x 6 m tebal 2 mm,0.0
1.1.7.01.01.01.012.00057,Besi hollow,2024-11-30,BATANG,Ukuran 40 mm x 40 mm x 6 m tebal 2 mm,47.0
1.1.7.01.01.01.012.00058,Besi hollow,2024-06-30,BATANG,Ukuran 40 mm x 60 mm x 6 m tebal 2 mm,0.0
1.1.7.01.01.01.012.00065,Besi Siku,2024-06-30,BATANG,Uk. 50.50.5 Panjang 6 M,90.0
1.1.7.01.01.01.012.00066,Besi Wiremesh,2025-06-30,LEMBAR,M10 SNI uk. 2.1 m x 5.4 m,41.0
1.1.7.01.01.01.012.00070,besi siku 120x120x12,2024-11-30,BATANG,panjang 6 meter SNI,10.0
1.1.7.01.01.01.012.00071,besi siku 70x70x7,2024-06-30,BATANG,panjang 6 meter SNI,47.0
